Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList
20674,2.0,1,1
11477,2.0,1,1
15107,2.0,1,1
56357,2.0,1,1
19651,2.0,1,1
14245,2.0,1,1
15586,2.0,1,1
216190,2.0,1,1
11881,2.0,1,1
332396,2.0,1,1
65257,1.0,1,0
20909,1.0,1,0
69539,1.0,1,0
19387,1.0,1,0
67905,1.0,1,0
396184,1.0,1,0
19227,1.0,1,0
108115,1.0,1,0
68212,1.0,1,0
380878,1.0,1,0
55934,1.0,1,0
52174,1.0,1,0
100041379,1.0,1,0
52662,1.0,1,0
215690,1.0,1,0
244373,1.0,1,0
100503584,1.0,1,0
628709,1.0,1,0
227485,1.0,1,0
13639,1.0,1,0
70508,1.0,1,0
234311,1.0,1,0
235431,1.0,1,0
320508,1.0,1,0
12447,1.0,1,0
242506,1.0,1,0
52348,1.0,1,0
333433,1.0,1,0
19944,1.0,1,0
71804,1.0,1,0
633093,1.0,1,0
76132,1.0,1,0
73347,1.0,1,0
12788,1.0,1,0
11984,1.0,1,0
69519,1.0,1,0
16796,1.0,1,0
544717,1.0,1,0
67522,1.0,1,0
319953,1.0,1,0
79560,1.0,1,0
170947,1.0,1,0
52120,1.0,1,0
26426,1.0,1,0
22042,1.0,1,0
101700,1.0,1,0
108927,1.0,1,0
27277,1.0,1,0
242800,1.0,1,0
223917,1.0,1,0
101612,1.0,1,0
100041354,1.0,1,0
269023,1.0,1,0
330554,1.0,1,0
320662,1.0,1,0
223723,1.0,1,0
66457,1.0,1,0
319899,1.0,1,0
194225,1.0,1,0
116914,1.0,1,0
240817,1.0,1,0
70333,1.0,1,0
432812,1.0,1,0
218989,1.0,1,0
66646,1.0,1,0
66161,1.0,1,0
11548,1.0,1,0
68644,1.0,1,0
269132,1.0,1,0
55991,1.0,1,0
76615,1.0,1,0
69538,1.0,1,0
100037278,1.0,1,0
71914,1.0,1,0
230767,1.0,1,0
381650,1.0,1,0
108096,1.0,1,0
432769,1.0,1,0
78416,1.0,1,0
14725,1.0,1,0
